trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913075,355,8/31/2015 17:56,28,8/31/2015 18:02,1,30,107,Subscriber
913072,481,8/31/2015 17:55,74,8/31/2015 18:03,1,61,291,Subscriber
913071,258,8/31/2015 17:55,7,8/31/2015 17:59,1,16,156,Subscriber
913069,1212,8/31/2015 17:54,48,8/31/2015 18:15,1,70,635,Subscriber
913068,497,8/31/2015 17:54,68,8/31/2015 18:02,1,70,359,Customer
913067,246,8/31/2015 17:54,34,8/31/2015 17:58,1,37,715,Subscriber
913066,212,8/31/2015 17:54,68,8/31/2015 17:57,1,47,394,Subscriber
913065,254,8/31/2015 17:53,34,8/31/2015 17:58,1,37,230,Subscriber
913062,508,8/31/2015 17:53,42,8/31/2015 18:02,1,63,66,Subscriber
913061,877,8/31/2015 17:53,74,8/31/2015 18:08,1,70,495,Subscriber
913060,1088,8/31/2015 17:53,74,8/31/2015 18:11,1,70,501,Subscriber
913057,590,8/31/2015 17:52,49,8/31/2015 18:02,1,70,611,Subscriber
913056,437,8/31/2015 17:51,62,8/31/2015 17:59,1,74,193,Subscriber
913055,545,8/31/2015 17:51,67,8/31/2015 18:00,1,69,344,Subscriber
913052,426,8/31/2015 17:51,29,8/31/2015 17:58,1,33,118,Subscriber
913051,614,8/31/2015 17:51,61,8/31/2015 18:01,1,42,353,Subscriber
913048,742,8/31/2015 17:49,66,8/31/2015 18:02,1,69,334,Subscriber
913047,439,8/31/2015 17:49,74,8/31/2015 17:57,1,47,472,Subscriber
913046,309,8/31/2015 17:49,62,8/31/2015 17:55,1,70,432,Subscriber
913043,361,8/31/2015 17:49,61,8/31/2015 17:55,1,63,564,Subscriber
913042,893,8/31/2015 17:48,74,8/31/2015 18:03,1,70,500,Subscriber
913041,330,8/31/2015 17:48,62,8/31/2015 17:53,1,50,601,Subscriber
913040,373,8/31/2015 17:48,49,8/31/2015 17:54,1,48,635,Subscriber
913039,866,8/31/2015 17:48,42,8/31/2015 18:02,1,72,530,Subscriber
913038,359,8/31/2015 17:48,65,8/31/2015 17:54,1,72,555,Subscriber
913035,499,8/31/2015 17:47,45,8/31/2015 17:55,1,54,522,Subscriber
913033,379,8/31/2015 17:47,62,8/31/2015 17:53,1,74,191,Subscriber
